Real Value (z)	Prediction (y)
9.677760346	9.750510004219922
1.548418627	2.0736015231271843
6.98487809	7.686096058378439
4.318168471	4.1266135547039156
6.825921059	6.851353690609319
7.221146441	8.205773662925484
9.546514723	10.64855446421317
10.5757794	10.247147800605166
1.50543927	2.6857037991525345
11.91286468	12.83778431236825
7.163379181	7.501799610901546
4.630155437	4.172013148726837
4.575572037	4.084148349635548
13.05365419	13.695374749022221
14.30377268	13.753000609149339
6.788506425	6.605852536885855
7.108454518	7.390407747723085
3.350150692	3.8604366451317595
2.18111294	2.1293188051507066
9.190441083	9.90322935504275
10.21150457	11.457938070221363
6.83966165	6.818129433320777
3.875675204	3.7408532043255036
4.706197586	4.430413036231148
6.787096336	7.427048020506362
6.584745735	6.751585779826911
0.91057717	1.1315183536488505
3.218552513	3.36489259853062
10.51019823	11.512489747816215
1.82887865	2.490622162588206
2.370348061	1.0789285044437236
9.915586591	11.016892180696473
3.892637922	3.072815124264917
4.282303313	3.6703509863936183
0.942670188	2.080938930648262
7.719724672	7.413781409508658
12.79863969	11.329802113275214
8.543812657	7.779950305551857
0.650651384	1.928840902395212
4.06697194	3.514290727958187
4.255082273	3.8724969508226117
1.643168341	2.2293549445889376
3.338626804	2.6185065343537843
7.825302587	8.699416881039955
4.361534699	3.5898624331519855
7.097274986	6.619247772027492
3.796456208	3.252039539065052
13.42943289	13.917825792992339
9.168788478	10.190650581735849
5.653526848	5.682579502531585
3.609860209	3.065235736153305
3.035060811	3.3844525861365007
12.5573657	11.106530671547066
13.61060401	12.446480337549755
14.51317433	14.001960917323188
4.374164687	4.163365385845154
15.40643822	14.814704725747681
4.387811898	3.9927031267757336
11.38868953	12.381900130098405
1.840042994	1.375960334856682
2.954102371	2.645685013916946
12.03109181	11.201752360780318
6.234462354	6.2514422700363355
1.870474954	2.910550998757241
9.793632586	9.036126976868637
2.599407583	3.3967679425783928
11.35770939	12.51178391552996
2.708307209	2.047938687782832
1.714486355	1.939884685621827
4.99939771	4.9903160570104035
3.315258365	2.6772383965638333
14.6723437	15.007510803562425
13.14489637	12.9007309574949
7.661801458	7.630939382889828
4.139233108	4.093670829036228
6.443881339	7.125768648860781
-0.033386512	1.3327594820921256
5.932992676	6.0382476482098255
9.780552091	8.68527450129303
5.369335706	5.49574171956294
14.75901155	14.206866397519896
7.653318401	7.630301255951583
6.365846952	6.693907078795444
0.738361192	2.0373406696245517
6.706543464	7.173881364891727
5.723723958	5.735718484225657
8.046629418	8.256636112996276
